comments_per_user,user_count
4,1
5,10854
6,11229
7,9766
8,8504
9,7421
10,6280
11,5590
12,4837
13,4288
14,3887
15,3420
16,3060
17,2799
18,2576
19,2361
20,2111
21,1984
22,1826
23,1703
24,1580
25,1421
26,1368
27,1278
28,1174
29,1153
30,1023
31,1006
32,907
33,893
34,881
35,806
36,759
37,759
38,691
39,679
40,670
41,649
42,565
43,535
44,523
45,508
46,503
47,499
48,443
49,426
50,421
51,372
52,336
53,372
54,348
55,316
56,299
57,256
58,303
59,299
60,262
61,285
62,270
63,258
64,232
65,214
66,219
67,244
68,238
69,220
70,217
71,202
72,206
73,201
74,170
75,170
76,172
77,175
78,154
79,158
80,168
81,144
82,144
83,148
84,118
85,146
86,140
87,124
88,104
89,112
90,109
91,103
92,123
93,109
94,102
95,95
96,91
97,111
98,105
99,95
100,103
101,81
102,78
103,82
104,96
105,104
106,90
107,69
108,74
109,75
110,68
111,83
112,77
113,86
114,65
115,61
116,68
117,62
118,64
119,72
120,58
121,74
122,65
123,59
124,55
125,48
126,49
127,59
128,52
129,60
130,50
131,47
132,53
133,45
134,57
135,50
136,46
137,46
138,64
139,40
140,48
141,43
142,36
143,35
144,46
145,35
146,41
147,32
148,34
149,37
150,31
151,47
152,36
153,28
154,35
155,34
156,33
157,28
158,29
159,34
160,35
161,39
162,46
163,31
164,45
165,37
166,27
167,20
168,19
169,16
170,25
171,17
172,25
173,24
174,31
175,22
176,29
177,25
178,24
179,27
180,21
181,26
182,21
183,28
184,13
185,19
186,24
187,10
188,25
189,21
190,19
191,24
192,27
193,12
194,18
195,16
196,22
197,21
198,13
199,24
200,18
201,9
202,16
203,19
204,23
205,16
206,14
207,21
208,17
209,4
210,11
211,17
212,13
213,13
214,12
215,18
216,14
217,18
218,16
219,10
220,9
221,12
222,23
223,16
224,13
225,11
226,12
227,12
228,11
229,15
230,8
231,14
232,11
233,9
234,9
235,17
236,6
237,15
238,13
239,12
240,12
241,12
242,18
243,16
244,6
245,14
246,4
247,10
248,7
249,10
250,13
251,8
252,5
253,7
254,6
255,13
256,12
257,13
258,7
259,11
260,7
261,13
262,11
263,5
264,7
265,7
266,10
267,6
268,7
269,3
270,12
271,5
272,10
273,3
274,9
275,3
276,8
277,5
278,12
279,4
280,3
281,8
282,10
283,8
284,8
285,10
286,4
287,9
288,4
289,5
290,10
291,7
292,9
293,5
294,7
295,2
296,6
297,5
298,9
299,8
300,4
301,4
302,5
303,6
304,8
305,5
306,1
307,4
308,5
309,6
310,10
311,5
312,6
313,3
314,2
315,4
316,5
317,6
318,3
319,1
320,3
321,6
322,4
323,3
324,7
325,5
326,4
327,2
328,4
330,3
331,5
332,3
333,3
334,1
335,3
336,9
337,4
338,1
339,4
340,2
341,3
342,9
343,5
344,6
345,5
346,8
347,5
348,6
350,4
351,5
352,1
353,6
354,4
355,5
356,5
357,8
358,7
359,3
360,6
361,4
362,5
363,3
364,2
365,7
366,6
367,3
368,3
369,5
370,4
371,3
372,3
373,3
374,4
375,2
376,2
377,3
378,4
379,2
380,3
381,7
382,2
383,3
385,3
386,2
387,2
388,3
389,1
390,3
391,2
392,4
393,1
394,1
395,1
396,1
397,2
398,1
399,1
400,1
401,1
402,1
403,3
404,4
405,2
406,1
407,5
408,5
409,1
410,1
411,1
412,2
413,3
415,6
416,1
418,3
419,2
420,1
421,1
422,4
423,1
424,4
425,2
426,4
427,2
428,4
429,2
431,2
432,2
433,2
434,2
435,1
436,3
437,1
438,4
439,3
440,1
441,5
442,1
443,1
444,2
445,1
446,5
447,1
448,2
449,2
450,2
451,1
452,3
453,5
454,2
455,1
456,4
457,1
460,2
461,1
462,1
464,1
465,1
466,1
469,1
470,2
471,2
472,1
474,1
475,2
476,2
477,1
478,2
479,1
483,2
485,1
486,2
487,2
488,3
489,1
490,3
491,3
492,2
493,3
495,1
496,1
497,2
498,2
499,1
500,3
501,3
502,1
503,2
504,1
505,1
506,1
507,6
508,2
510,1
512,1
513,1
514,1
515,1
517,1
518,1
520,1
521,1
525,1
526,1
527,1
530,1
531,1
532,1
533,2
536,2
537,1
538,3
539,2
540,2
543,1
546,1
547,3
548,1
558,1
560,2
561,1
563,1
564,2
566,1
567,1
568,1
582,1
583,1
585,1
586,3
587,1
590,2
591,1
594,1
600,3
603,2
607,1
608,1
611,1
612,2
614,2
615,1
617,2
620,2
622,1
623,2
625,2
627,1
628,1
629,1
630,1
631,1
637,2
638,1
639,1
641,1
643,2
647,2
649,1
651,1
652,2
658,1
668,3
671,1
675,1
676,1
678,1
679,3
681,1
684,1
691,1
693,1
694,1
696,1
697,1
700,1
701,1
706,1
710,1
721,2
725,1
727,1
729,2
732,2
736,1
737,1
739,2
741,1
742,2
748,1
749,1
752,1
753,1
757,1
760,1
762,1
763,1
769,1
771,1
796,1
798,1
802,1
814,1
819,3
828,1
835,1
843,1
867,1
873,1
882,1
887,1
890,1
899,1
908,1
923,1
926,1
927,1
928,1
935,1
949,1
952,1
1009,1
1018,1
1031,2
1042,1
1112,1
1121,1
1126,1
1131,2
1161,1
1165,1
1183,1
1187,1
1223,1
1255,1
1266,1
1267,1
1299,1
1331,1
1378,1
1387,1
1388,1
1467,1
1478,1
1493,1
1532,1
1537,1
1694,1
1711,1
1722,1
1750,1
2222,1
2736,1
