degree,count
0,13529
1,8752
2,6096
3,4485
4,3656
5,2927
6,2405
7,1936
8,1778
9,1554
10,1366
11,1208
12,1096
13,1026
14,868
15,813
16,760
17,699
18,654
19,625
20,594
21,498
22,519
23,498
24,413
25,371
26,356
27,332
28,322
29,293
30,309
31,291
32,290
33,260
34,231
35,249
36,261
37,201
38,224
39,220
40,219
41,219
42,160
43,174
44,165
45,169
46,174
47,163
48,152
49,160
50,135
51,151
52,143
53,122
54,127
55,143
56,118
57,111
58,115
59,110
60,107
61,79
62,100
63,106
64,99
65,102
66,84
67,77
68,93
69,83
70,70
71,70
72,70
73,76
74,76
75,65
76,83
77,63
78,76
79,70
80,68
81,70
82,60
83,70
84,60
85,90
86,65
87,50
88,74
89,54
90,72
91,62
92,59
93,65
94,64
95,38
96,38
97,49
98,49
99,41
100,38
101,43
102,33
103,44
104,35
105,45
106,29
107,46
108,37
109,42
110,39
111,43
112,24
113,36
114,34
115,30
116,33
117,32
118,38
119,29
120,22
121,35
122,28
123,15
124,27
125,29
126,29
127,27
128,30
129,18
130,22
131,20
132,28
133,32
134,23
135,24
136,26
137,26
138,25
139,27
140,24
141,12
142,27
143,15
144,24
145,20
146,17
147,11
148,17
149,19
150,23
151,14
152,16
153,11
154,19
155,19
156,18
157,20
158,8
159,20
160,15
161,13
162,14
163,25
164,12
165,10
166,18
167,17
168,9
169,21
170,13
171,17
172,14
173,14
174,16
175,8
176,13
177,13
178,12
179,9
180,19
181,15
182,11
183,8
184,21
185,16
186,11
187,13
188,6
189,12
190,15
191,16
192,9
193,14
194,14
195,12
196,11
197,12
198,19
199,9
200,9
201,9
202,11
203,9
204,13
205,9
206,8
207,10
208,18
209,11
210,13
211,9
212,13
213,11
214,13
215,11
216,9
217,7
218,8
219,10
220,12
221,7
222,14
223,7
224,10
225,7
226,10
227,6
228,6
229,6
230,11
231,5
232,7
233,8
234,11
235,8
236,11
237,9
238,6
239,11
240,10
241,8
242,10
243,7
244,14
245,5
246,6
247,8
248,9
249,9
250,4
251,7
252,10
253,4
254,5
255,6
256,6
257,6
258,4
259,4
260,7
261,7
262,3
263,4
264,5
265,8
266,8
267,7
268,3
269,2
270,5
271,7
272,8
273,3
274,5
275,2
276,4
277,2
278,2
279,6
280,3
281,1
282,6
283,4
284,4
285,2
286,4
288,2
289,1
290,6
291,1
292,3
293,3
294,2
295,4
296,6
297,4
298,3
299,2
300,2
301,2
302,1
303,3
304,2
305,4
306,5
307,1
308,1
309,5
310,5
311,1
312,4
313,2
314,4
315,1
316,1
317,2
318,3
319,2
321,2
322,3
323,2
324,1
325,2
326,2
327,1
331,1
332,5
333,1
337,1
338,2
340,1
341,1
346,2
348,1
349,4
351,1
354,2
356,2
359,1
360,2
361,1
363,1
364,1
367,1
372,1
373,1
374,2
375,1
377,2
380,1
381,1
383,1
385,1
386,1
398,1
408,1
411,1
414,1
415,1
418,1
425,1
432,1
438,1
440,1
442,1
443,1
459,2
467,1
468,2
469,1
484,1
490,1
503,1
506,1
509,1
520,1
537,1
539,1
540,1
549,1
573,1
580,1
584,1
