rank,video_id,metric_value,title,channel,views
1,2QBsDH72MoM,0.01568423429683157,Bye Pewdiepie | Carryminati,CarryMinati,25315865.0
2,QKkHAIEjv2s,0.014502848804891607,REACTING TO PEWDIEPIE & RICEGUM'S ROASTS ON MY BROTHER!,Logan Paul Vlogs,17528861.0
3,-iRXMxqcPrw,0.014352418010005558,March of the Guitars - Joe Penna,Joe Penna / MysteryG...,2271410.0
4,8wzxbR5vfjE,0.013904078654808227,Game Theory: Who is W.D. Gaster? (Undertale),The Game Theorists,10307122.0
5,KQy9iIxD4CI,0.013823999444135631,Content Deputy - Leafy Response,iDubbbzTV,15884360.0
6,W3GrSMYbkBE,0.01303415091717621,Despacito 2 (Parody Video),FlyingKitty,72299039.0
7,xfeys7Jfnx8,0.012632191495275153,Nice Guys,nigahiga,80291318.0
8,5hhqyvhsFxk,0.012398120483602,MY PET PEEVES,TheOdd2sOut,3556962.0
9,779akDPBNYc,0.01225489855475264,DPHQ2 Trick Shots | Dude Perfect,Dude Perfect,46570938.0
10,xgKCBnUJ4HU,0.012240393968871595,Barbecuing Hot Dogs at an Animal Rights Protest,Pathetic Millennial,10641879.0
